Date,Category,Product,Quantity,Total
2024-02-03 00:00:00,Storage,128GB USB Flash Drive,2,461.58
2024-02-03 00:00:00,Monitors,"32"" 8K Professional Monitor",3,2329.8
2024-02-04 00:00:00,Networking,USB Wi-Fi Adapter,5,1340.35
2024-02-04 00:00:00,Mice,Vertical Ergonomic Mouse,4,135.8
2024-02-04 00:00:00,Headsets,Wireless Bluetooth Headphones,3,241.35
2024-02-04 00:00:00,Storage,1TB NVMe SSD,2,141.44
2024-02-04 00:00:00,Monitors,"34"" Ultrawide Curved Monitor",2,315.62
2024-02-05 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",5,2596.65
2024-02-06 00:00:00,Keyboards,Wireless Ergonomic Keyboard,4,360.44
2024-02-06 00:00:00,Storage,1TB NVMe SSD,5,663.5
2024-02-06 00:00:00,Keyboards,RGB Backlit Keyboard,3,466.89
2024-02-06 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",5.0,2009.17
2024-02-07 00:00:00,Mice,Precision Laser Mouse,2,138.26
2024-02-07 00:00:00,Monitors,"27"" 4K IPS Monitor",4,1610.08
2024-02-07 00:00:00,Networking,Network Attached Storage (NAS),2,856.46
2024-02-08 00:00:00,Mice,Trackball Mouse,5,124.25
2024-02-08 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",5.0,3375.75
2024-02-09 00:00:00,Keyboards,Compact 60% Keyboard,2,352.06
2024-02-09 00:00:00,Mice,Optical Gaming Mouse,3,264.72
2024-02-09 00:00:00,Mice,Precision Laser Mouse,3,242.25
2024-02-09 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",4,1308.16
2024-02-10 00:00:00,Keyboards,Compact 60% Keyboard,1,154.82
2024-02-10 00:00:00,Keyboards,RGB Backlit Keyboard,2,274.06
2024-02-10 00:00:00,Networking,Wireless Mesh Router System,1,477.33
2024-02-10 00:00:00,Mice,Optical Gaming Mouse,5,237.15
2024-02-10 00:00:00,Mice,Precision Laser Mouse,1,121.51
2024-02-10 00:00:00,Mice,Precision Laser Mouse,3,474.12
2024-02-10 00:00:00,Mice,Trackball Mouse,5,967.35
2024-02-11 00:00:00,Networking,Wireless Mesh Router System,2,968.24
2024-02-11 00:00:00,Keyboards,Membrane Office Keyboard,1,187.2
2024-02-11 00:00:00,Storage,128GB USB Flash Drive,4,1136.8
2024-02-12 00:00:00,Mice,Optical Gaming Mouse,5,721.55
2024-02-12 00:00:00,Networking,Gigabit Ethernet Switch,1,363.74
2024-02-12 00:00:00,Headsets,In-Ear Gaming Earbuds,1,163.32
2024-02-12 00:00:00,Storage,1TB NVMe SSD,3,521.52
2024-02-12 00:00:00,Networking,USB Wi-Fi Adapter,1,277.68
2024-02-13 00:00:00,Headsets,Noise-Cancelling Gaming Headset,4,672.08
2024-02-13 00:00:00,Keyboards,Compact 60% Keyboard,3,403.23
2024-02-13 00:00:00,Monitors,"34"" Ultrawide Curved Monitor",4,1034.08
2024-02-14 00:00:00,Storage,512GB Portable SSD,5,1241.05
2024-02-14 00:00:00,Storage,128GB USB Flash Drive,4,590.44
2024-02-14 00:00:00,Networking,Powerline Ethernet Adapter,3,585.12
2024-02-15 00:00:00,Mice,Optical Gaming Mouse,3,536.07
2024-02-15 00:00:00,Mice,Precision Laser Mouse,5,649.3
2024-02-15 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",1,544.88
2024-02-15 00:00:00,Headsets,Wireless Bluetooth Headphones,4,232.72
2024-02-15 00:00:00,Headsets,USB Conference Headset,3,535.38
2024-02-16 00:00:00,Networking,USB Wi-Fi Adapter,5,272.85
2024-02-16 00:00:00,Mice,Optical Gaming Mouse,2,299.22
2024-02-16 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",2,1443.1
2024-02-17 00:00:00,Networking,Network Attached Storage (NAS),4,1627.28
2024-02-17 00:00:00,Keyboards,RGB Backlit Keyboard,2,185.58
2024-02-17 00:00:00,Mice,Vertical Ergonomic Mouse,5,432.1
2024-02-18 00:00:00,Storage,4TB Desktop HDD,3,434.67
2024-02-18 00:00:00,Networking,Powerline Ethernet Adapter,3,624.93
2024-02-18 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",3,978.78
2024-02-19 00:00:00,Keyboards,Wireless Ergonomic Keyboard,3,124.56
2024-02-19 00:00:00,Storage,2TB External HDD,2,176.84
2024-02-19 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",5.0,3198.6000000000004
2024-02-20 00:00:00,Storage,4TB Desktop HDD,3,884.22
2024-02-20 00:00:00,Mice,Vertical Ergonomic Mouse,2,169.92
2024-02-20 00:00:00,Headsets,Noise-Cancelling Gaming Headset,5,213.9
2024-02-20 00:00:00,Keyboards,Mechanical Gaming Keyboard,5,362.9
2024-02-20 00:00:00,Mice,Precision Laser Mouse,1,177.09
2024-02-20 00:00:00,Storage,512GB Portable SSD,4,637.0
2024-02-21 00:00:00,Headsets,Wireless Bluetooth Headphones,1,65.45
2024-02-21 00:00:00,Monitors,"27"" 4K IPS Monitor",1,460.64
2024-02-21 00:00:00,Keyboards,Membrane Office Keyboard,1,47.31
2024-02-21 00:00:00,Storage,512GB Portable SSD,1,298.36
2024-02-21 00:00:00,Keyboards,Membrane Office Keyboard,4,516.56
2024-02-21 00:00:00,Storage,2TB External HDD,5,663.5
2024-02-22 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",5.0,3500.0
2024-02-23 00:00:00,Headsets,In-Ear Gaming Earbuds,5,154.2
2024-02-23 00:00:00,Networking,Wireless Mesh Router System,2,662.96
2024-02-23 00:00:00,Headsets,Noise-Cancelling Gaming Headset,2,126.36
2024-02-23 00:00:00,Storage,1TB NVMe SSD,2,61.44
2024-02-23 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",4,1448.52
2024-02-24 00:00:00,Mice,Vertical Ergonomic Mouse,3,439.62
2024-02-24 00:00:00,Monitors,"27"" 4K IPS Monitor",2,1863.04
2024-02-25 00:00:00,Networking,Powerline Ethernet Adapter,2,482.62
2024-02-25 00:00:00,Storage,2TB External HDD,2,550.54
2024-02-25 00:00:00,Mice,Optical Gaming Mouse,1,49.87
2024-02-25 00:00:00,Headsets,In-Ear Gaming Earbuds,5,929.05
2024-02-26 00:00:00,Monitors,"27"" 4K IPS Monitor",4,2879.24
2024-02-27 00:00:00,Networking,Network Attached Storage (NAS),3,825.63
2024-02-27 00:00:00,Monitors,"32"" 8K Professional Monitor",1,638.23
2024-02-27 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",5,1626.65
2024-02-28 00:00:00,Keyboards,Wireless Ergonomic Keyboard,5,628.4
2024-02-28 00:00:00,Keyboards,RGB Backlit Keyboard,5,136.2
2024-02-28 00:00:00,Mice,Precision Laser Mouse,5,686.35
2024-02-28 00:00:00,Headsets,Wireless Bluetooth Headphones,5,492.3
2024-02-28 00:00:00,Monitors,"27"" 4K IPS Monitor",4.0,1556.7500000000002
2024-02-29 00:00:00,Headsets,USB Conference Headset,1,174.39
2024-02-29 00:00:00,Headsets,Surround Sound Headphones,4,287.52
2024-02-29 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",1,509.34
2024-02-29 00:00:00,Headsets,USB Conference Headset,3,122.61
2024-02-29 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",1,691.89
2024-02-29 00:00:00,Storage,128GB USB Flash Drive,4,178.56
2024-02-29 00:00:00,Storage,512GB Portable SSD,5,1171.2
2024-03-01 00:00:00,Networking,Network Attached Storage (NAS),1,141.6
2024-03-01 00:00:00,Storage,2TB External HDD,3,444.87
2024-03-01 00:00:00,Networking,Network Attached Storage (NAS),1,62.99
2024-03-01 00:00:00,Networking,Powerline Ethernet Adapter,2,738.8
2024-03-01 00:00:00,Headsets,In-Ear Gaming Earbuds,1,119.41
2024-03-01 00:00:00,Keyboards,Wireless Ergonomic Keyboard,1,103.06
2024-03-01 00:00:00,Keyboards,Wireless Ergonomic Keyboard,4,751.52
2024-03-02 00:00:00,Headsets,In-Ear Gaming Earbuds,3,284.37
2024-03-02 00:00:00,Monitors,"32"" 8K Professional Monitor",2,1022.22
2024-03-02 00:00:00,Mice,Precision Laser Mouse,2,371.88
2024-03-02 00:00:00,Storage,2TB External HDD,1,104.59
2024-03-02 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",5,1702.3
2024-03-03 00:00:00,Keyboards,RGB Backlit Keyboard,3,512.25
2024-03-03 00:00:00,Storage,128GB USB Flash Drive,2,301.14
2024-03-03 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",3,1790.19
2024-03-04 00:00:00,Storage,128GB USB Flash Drive,4,1127.48
2024-03-04 00:00:00,Mice,Wireless Bluetooth Mouse,5,444.65
2024-03-04 00:00:00,Monitors,"27"" 4K IPS Monitor",3.0,1927.87
2024-03-05 00:00:00,Networking,Network Attached Storage (NAS),4,1979.16
2024-03-05 00:00:00,Networking,Gigabit Ethernet Switch,4.0,1520.84
2024-03-06 00:00:00,Mice,Trackball Mouse,5,398.8
2024-03-06 00:00:00,Keyboards,Compact 60% Keyboard,1,114.67
2024-03-06 00:00:00,Monitors,"27"" 4K IPS Monitor",2,937.96
2024-03-06 00:00:00,Networking,Gigabit Ethernet Switch,1,261.27
2024-03-06 00:00:00,Headsets,USB Conference Headset,5,723.45
2024-03-07 00:00:00,Networking,Wireless Mesh Router System,3,1300.65
2024-03-07 00:00:00,Storage,128GB USB Flash Drive,3,597.72
2024-03-07 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",1,655.71
2024-03-08 00:00:00,Mice,Vertical Ergonomic Mouse,2,308.84
2024-03-08 00:00:00,Monitors,"27"" 4K IPS Monitor",1,499.31
2024-03-08 00:00:00,Networking,USB Wi-Fi Adapter,1,70.7
2024-03-08 00:00:00,Keyboards,RGB Backlit Keyboard,3,262.41
2024-03-08 00:00:00,Mice,Wireless Bluetooth Mouse,5,470.85
2024-03-08 00:00:00,Networking,Gigabit Ethernet Switch,2,257.56
2024-03-08 00:00:00,Storage,128GB USB Flash Drive,5,1072.25
2024-03-09 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",2,617.94
2024-03-09 00:00:00,Networking,USB Wi-Fi Adapter,4,659.6
2024-03-09 00:00:00,Keyboards,Compact 60% Keyboard,3,425.91
2024-03-09 00:00:00,Mice,Optical Gaming Mouse,4,760.56
2024-03-10 00:00:00,Storage,512GB Portable SSD,4,865.52
2024-03-10 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",2,1998.88
2024-03-11 00:00:00,Monitors,"27"" 4K IPS Monitor",2,886.46
2024-03-11 00:00:00,Headsets,In-Ear Gaming Earbuds,3,596.04
2024-03-11 00:00:00,Headsets,Noise-Cancelling Gaming Headset,4,277.64
2024-03-11 00:00:00,Storage,1TB NVMe SSD,5,1156.0
2024-03-12 00:00:00,Headsets,Wireless Bluetooth Headphones,5,821.75
2024-03-12 00:00:00,Mice,Wireless Bluetooth Mouse,5,325.55
2024-03-12 00:00:00,Networking,Gigabit Ethernet Switch,1,456.53
2024-03-12 00:00:00,Networking,Wireless Mesh Router System,3,1214.61
2024-03-13 00:00:00,Keyboards,Membrane Office Keyboard,3,455.46
2024-03-13 00:00:00,Keyboards,RGB Backlit Keyboard,3,463.65
2024-03-13 00:00:00,Mice,Wireless Bluetooth Mouse,2,323.14
2024-03-13 00:00:00,Headsets,In-Ear Gaming Earbuds,5,922.15
2024-03-14 00:00:00,Mice,Vertical Ergonomic Mouse,4,776.52
2024-03-14 00:00:00,Headsets,USB Conference Headset,1,104.3
2024-03-14 00:00:00,Keyboards,Wireless Ergonomic Keyboard,2,349.66
2024-03-14 00:00:00,Networking,Network Attached Storage (NAS),5,1073.0
2024-03-15 00:00:00,Monitors,"27"" 4K IPS Monitor",3,1748.76
2024-03-15 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",3.0,1751.24
2024-03-16 00:00:00,Networking,USB Wi-Fi Adapter,1,353.68
2024-03-16 00:00:00,Monitors,"27"" 4K IPS Monitor",5.0,3146.3199999999997
2024-03-17 00:00:00,Storage,512GB Portable SSD,5,448.85
2024-03-17 00:00:00,Keyboards,Compact 60% Keyboard,3,410.58
2024-03-17 00:00:00,Keyboards,Wireless Ergonomic Keyboard,1,190.33
2024-03-17 00:00:00,Headsets,Surround Sound Headphones,1,37.49
2024-03-17 00:00:00,Storage,2TB External HDD,4,609.92
2024-03-17 00:00:00,Networking,Powerline Ethernet Adapter,4,1257.2
2024-03-18 00:00:00,Networking,Gigabit Ethernet Switch,4,1378.84
2024-03-18 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",4.0,2121.1600000000003
2024-03-19 00:00:00,Headsets,Noise-Cancelling Gaming Headset,3,177.33
2024-03-19 00:00:00,Monitors,"34"" Ultrawide Curved Monitor",3,568.26
2024-03-19 00:00:00,Networking,USB Wi-Fi Adapter,5,2278.8
2024-03-20 00:00:00,Networking,USB Wi-Fi Adapter,1,229.16
2024-03-20 00:00:00,Mice,Optical Gaming Mouse,4,146.0
2024-03-20 00:00:00,Mice,Trackball Mouse,1,29.1
2024-03-20 00:00:00,Headsets,Wireless Bluetooth Headphones,2,323.32
2024-03-20 00:00:00,Mice,Optical Gaming Mouse,5,286.45
2024-03-20 00:00:00,Mice,Wireless Bluetooth Mouse,3,478.17
2024-03-20 00:00:00,Storage,1TB NVMe SSD,3,785.31
2024-03-21 00:00:00,Mice,Wireless Bluetooth Mouse,5,325.6
2024-03-21 00:00:00,Mice,Optical Gaming Mouse,1,43.72
2024-03-21 00:00:00,Headsets,Wireless Bluetooth Headphones,5,391.4
2024-03-21 00:00:00,Mice,Vertical Ergonomic Mouse,1,42.82
2024-03-21 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",1,771.1
2024-03-21 00:00:00,Monitors,"32"" 8K Professional Monitor",3,1685.73
2024-03-22 00:00:00,Keyboards,Compact 60% Keyboard,5,299.4
2024-03-22 00:00:00,Storage,1TB NVMe SSD,5,557.2
2024-03-22 00:00:00,Networking,Wireless Mesh Router System,1,499.36
2024-03-22 00:00:00,Monitors,"32"" 8K Professional Monitor",1,541.24
2024-03-22 00:00:00,Monitors,"27"" 4K IPS Monitor",1,389.9
2024-03-23 00:00:00,Mice,Optical Gaming Mouse,2,139.0
2024-03-23 00:00:00,Networking,Powerline Ethernet Adapter,5,1852.35
2024-03-23 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",5.0,1508.6500000000003
2024-03-24 00:00:00,Storage,4TB Desktop HDD,4,227.12
2024-03-24 00:00:00,Networking,Wireless Mesh Router System,5,1871.9
2024-03-25 00:00:00,Mice,Precision Laser Mouse,4,719.44
2024-03-25 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",4,1835.44
2024-03-26 00:00:00,Networking,Wireless Mesh Router System,3,726.12
2024-03-26 00:00:00,Networking,USB Wi-Fi Adapter,3,1437.36
2024-03-27 00:00:00,Networking,Network Attached Storage (NAS),1,91.05
2024-03-27 00:00:00,Keyboards,Mechanical Gaming Keyboard,4,149.52
2024-03-27 00:00:00,Networking,USB Wi-Fi Adapter,2,600.74
2024-03-27 00:00:00,Storage,4TB Desktop HDD,5,595.0
2024-03-27 00:00:00,Keyboards,Compact 60% Keyboard,3,531.75
2024-03-27 00:00:00,Monitors,"27"" 4K IPS Monitor",3.0,1531.9399999999998
2024-03-28 00:00:00,Headsets,Noise-Cancelling Gaming Headset,5,556.65
2024-03-28 00:00:00,Mice,Precision Laser Mouse,2,345.02
2024-03-28 00:00:00,Headsets,In-Ear Gaming Earbuds,3,122.04
2024-03-28 00:00:00,Headsets,In-Ear Gaming Earbuds,2,330.6
2024-03-28 00:00:00,Storage,4TB Desktop HDD,5,1061.2
2024-03-29 00:00:00,Storage,1TB NVMe SSD,5,1404.25
2024-03-29 00:00:00,Networking,USB Wi-Fi Adapter,1,131.19
2024-03-29 00:00:00,Networking,USB Wi-Fi Adapter,3,623.88
2024-03-30 00:00:00,Mice,Wireless Bluetooth Mouse,5,691.6
2024-03-30 00:00:00,Keyboards,Wireless Ergonomic Keyboard,1,36.52
2024-03-30 00:00:00,Storage,2TB External HDD,4,573.4
2024-03-30 00:00:00,Headsets,Wireless Bluetooth Headphones,3,228.27
2024-03-30 00:00:00,Headsets,In-Ear Gaming Earbuds,5,176.45
2024-03-30 00:00:00,Keyboards,Wireless Ergonomic Keyboard,2,311.6
2024-03-31 00:00:00,Keyboards,Mechanical Gaming Keyboard,3,299.28
2024-03-31 00:00:00,Monitors,"32"" 8K Professional Monitor",5,2489.2
2024-04-01 00:00:00,Headsets,Wireless Bluetooth Headphones,5,202.45
2024-04-01 00:00:00,Monitors,"27"" 4K IPS Monitor",3,2131.2
2024-04-02 00:00:00,Storage,128GB USB Flash Drive,5,1050.65
2024-04-02 00:00:00,Keyboards,Wireless Ergonomic Keyboard,4,788.8
2024-04-02 00:00:00,Keyboards,Mechanical Gaming Keyboard,2,148.52
2024-04-02 00:00:00,Mice,Wireless Bluetooth Mouse,3,216.3
2024-04-03 00:00:00,Keyboards,Mechanical Gaming Keyboard,4,617.84
2024-04-03 00:00:00,Mice,Wireless Bluetooth Mouse,4,463.44
2024-04-03 00:00:00,Mice,Trackball Mouse,5,850.0
2024-04-03 00:00:00,Headsets,Noise-Cancelling Gaming Headset,4,700.48
2024-04-04 00:00:00,Keyboards,Compact 60% Keyboard,1,102.76
2024-04-04 00:00:00,Keyboards,RGB Backlit Keyboard,5,486.35
2024-04-04 00:00:00,Monitors,"32"" 8K Professional Monitor",3,610.98
2024-04-04 00:00:00,Keyboards,RGB Backlit Keyboard,2,328.48
2024-04-04 00:00:00,Storage,128GB USB Flash Drive,3,161.4
2024-04-04 00:00:00,Keyboards,Wireless Ergonomic Keyboard,4,504.0
