production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
55,2024-06-01,03-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,23.48692,NW,1518.63592
56,2024-06-01,03-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.26942,NE,967.91749
57,2024-06-01,03-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,6.82641,SW,828.12406
58,2024-06-01,03-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.39851,NW,841.12194
59,2024-06-01,03-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,3.33467,W,1231.75656
60,2024-06-01,03-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.4573,SE,769.40552
61,2024-06-01,03-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,3.54674,NE,1217.89449
62,2024-06-01,03-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.96204,NE,1985.50842
63,2024-06-01,03-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.2508,E,705.83063
64,2024-06-01,03-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.27646,SE,1075.19584
65,2024-06-01,03-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.11411,NW,500.08304
66,2024-06-01,03-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,11.78539,E,778.45392
67,2024-06-01,03-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Reactive Maintenance,Maintenance,17.81223,S,0.0
68,2024-06-01,03-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,7.27716,W,880.91246
69,2024-06-01,03-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.91862,SE,1567.37573
70,2024-06-01,03-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,18.80017,SW,1195.36314
71,2024-06-01,03-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.49604,S,1620.61921
72,2024-06-01,03-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.36856,W,1575.28952
73,2024-06-01,04-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,15.00469,SW,807.29864
74,2024-06-01,04-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,4.87116,NW,1910.64792
75,2024-06-01,04-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,19.21926,W,826.17574
76,2024-06-01,04-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,18.82896,E,1942.90457
77,2024-06-01,04-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,7.53906,S,594.55743
78,2024-06-01,04-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,2.21252,SW,1677.72937
79,2024-06-01,04-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,15.48743,NW,1268.59019
80,2024-06-01,04-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.11347,S,1007.23843
81,2024-06-01,04-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,7.32914,SW,0.0
82,2024-06-01,04-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,18.45791,S,1445.67191
83,2024-06-01,04-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.73947,NE,791.51333
84,2024-06-01,04-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.40795,SE,722.21129
85,2024-06-01,04-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Fault,Engineering,13.00252,NE,0.0
86,2024-06-01,04-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.19803,SE,705.35041
87,2024-06-01,04-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,6.3665,SE,680.98549
88,2024-06-01,04-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Fault,Engineering,11.34077,N,0.0
89,2024-06-01,04-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,24.0992,N,0.0
90,2024-06-01,04-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.26324,NW,621.65208
91,2024-06-01,05-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,7.34139,SE,987.96546
92,2024-06-01,05-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,2.32081,NE,0.0
93,2024-06-01,05-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,5.37977,E,875.93408
94,2024-06-01,05-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,20.63975,S,1130.8092
95,2024-06-01,05-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.79268,N,644.82441
96,2024-06-01,05-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,15.61451,N,952.39795
97,2024-06-01,05-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.49123,NW,1163.02298
98,2024-06-01,05-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.9691,SE,771.72644
99,2024-06-01,05-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,3.30751,NW,809.89191
100,2024-06-01,05-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.67126,W,1060.71971
101,2024-06-01,05-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.2749,N,700.19781
102,2024-06-01,05-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.27876,NE,1699.69383
103,2024-06-01,05-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.93321,SE,1232.61509
104,2024-06-01,05-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.00457,S,553.04365
105,2024-06-01,05-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.73039,NE,715.74405
106,2024-06-01,05-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,14.40214,SW,1089.01351
107,2024-06-01,05-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,6.30401,S,0.0
108,2024-06-01,05-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.12198,SW,1823.06212
109,2024-06-01,06-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,18.65586,E,640.18918
110,2024-06-01,06-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.88408,SE,991.5806
111,2024-06-01,06-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,16.6294,E,1650.44526
112,2024-06-01,06-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,9.09058,W,1187.20824
113,2024-06-01,06-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.72762,W,646.20303
114,2024-06-01,06-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.84952,NE,1863.26558
115,2024-06-01,06-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,5.66653,W,1450.41183
116,2024-06-01,06-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Preventive Maintenance,Maintenance,23.54517,SW,0.0
117,2024-06-01,06-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.52788,NE,960.47908
118,2024-06-01,06-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.20921,N,524.49275
119,2024-06-01,06-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.22897,SW,1520.40523
120,2024-06-01,06-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.26499,SW,1181.2436
121,2024-06-01,06-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,7.35311,S,1759.26945
122,2024-06-01,06-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,13.80072,SW,602.11111
123,2024-06-01,06-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,7.0867,SW,1656.63357
124,2024-06-01,06-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.29357,SE,1427.72039
125,2024-06-01,06-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,24.77794,SW,0.0
126,2024-06-01,06-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.12495,NW,1235.45802
127,2024-06-01,07-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Fault,Engineering,3.502,E,0.0
128,2024-06-01,07-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,3.62029,W,1493.75686
129,2024-06-01,07-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.31476,E,1780.91018
130,2024-06-01,07-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.84019,SE,1559.86206
131,2024-06-01,07-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,10.29255,NE,1044.74189
132,2024-06-01,07-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,18.9897,N,1022.77905
133,2024-06-01,07-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.6663,E,1545.71243
134,2024-06-01,07-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,4.78438,W,874.13006
135,2024-06-01,07-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.87191,S,1037.16121
136,2024-06-01,07-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,23.08472,NW,1822.58032
137,2024-06-01,07-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,10.71831,NE,986.6073
138,2024-06-01,07-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,20.2973,S,1173.93747
139,2024-06-01,07-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,21.30135,SW,1607.58551
140,2024-06-01,07-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.63491,E,1800.93411
141,2024-06-01,07-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Preventive Maintenance,Maintenance,19.26759,E,0.0
142,2024-06-01,07-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,5.0326,E,1177.73252
143,2024-06-01,07-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.73426,E,1171.27381
144,2024-06-01,07-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.7015,NE,1074.21209
145,2024-06-01,08-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.25928,E,1969.35988
146,2024-06-01,08-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,7.95015,E,1110.10002
147,2024-06-01,08-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.24801,E,1955.11261
148,2024-06-01,08-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.42501,N,965.57124
149,2024-06-01,08-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,14.07432,SE,1438.45493
150,2024-06-01,08-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.24379,SE,573.03544
151,2024-06-01,08-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.26112,E,1268.67749
152,2024-06-01,08-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,10.89702,N,1433.57664
153,2024-06-01,08-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,6.71324,NW,1458.54108
154,2024-06-01,08-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,8.27171,NE,924.04948
155,2024-06-01,08-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,18.33775,SE,1190.32956
156,2024-06-01,08-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,14.8355,E,634.24182
157,2024-06-01,08-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.5592,S,1859.25776
158,2024-06-01,08-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,24.28387,S,673.55485
159,2024-06-01,08-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.99121,SW,1586.22177
160,2024-06-01,08-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,7.22293,S,1400.58836
161,2024-06-01,08-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,24.14372,NW,1500.92727
162,2024-06-01,08-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.75712,N,1000.9473
163,2024-06-01,09-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.23659,N,1986.71248
164,2024-06-01,09-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.55339,S,841.63925
165,2024-06-01,09-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,16.33578,E,1820.1603
166,2024-06-01,09-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.30177,N,1807.6786
167,2024-06-01,09-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,23.214,SE,681.37904
168,2024-06-01,09-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.60374,S,1879.67422
169,2024-06-01,09-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,6.01976,NE,869.80219
170,2024-06-01,09-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.84615,W,1829.457
171,2024-06-01,09-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.88114,W,718.80523
172,2024-06-01,09-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,16.38714,E,1544.69472
173,2024-06-01,09-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,2.91116,E,1276.41815
174,2024-06-01,09-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,6.24034,E,1847.09354
175,2024-06-01,09-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,14.16562,N,980.84799
176,2024-06-01,09-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.73797,SE,1067.36776
177,2024-06-01,09-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,6.01714,NE,0.0
178,2024-06-01,09-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,6.60838,W,1410.87406
179,2024-06-01,09-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.532,S,1835.97921
180,2024-06-01,09-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.34903,S,1006.21607
181,2024-06-01,10-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Reactive Maintenance,Maintenance,5.06911,NE,0.0
182,2024-06-01,10-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,17.00311,W,1488.76471
183,2024-06-01,10-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.98339,N,1172.21425
184,2024-06-01,10-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Preventive Maintenance,Maintenance,17.45694,NW,0.0
185,2024-06-01,10-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,22.46525,NW,0.0
186,2024-06-01,10-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.26128,W,721.52837
187,2024-06-01,10-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,7.56374,N,890.943
188,2024-06-01,10-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.12643,NW,675.98072
189,2024-06-01,10-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,15.56298,NW,1911.17249
190,2024-06-01,10-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,15.71286,S,1099.70254
191,2024-06-01,10-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,5.3996,E,783.59399
192,2024-06-01,10-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,2.20542,SE,1246.66536
193,2024-06-01,10-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,7.55581,NE,1977.39996
194,2024-06-01,10-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.23561,NE,673.751
195,2024-06-01,10-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.53913,SE,649.93777
196,2024-06-01,10-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.12525,E,1105.68911
197,2024-06-01,10-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,17.44182,SW,1785.13287
198,2024-06-01,10-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.77213,NW,1147.64019
199,2024-06-01,11-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,3.61097,N,1870.98683
200,2024-06-01,11-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,9.4539,W,665.71567
201,2024-06-01,11-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,11.32359,NW,1570.89079
202,2024-06-01,11-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.19218,E,1409.4622
203,2024-06-01,11-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,16.60009,S,1833.93097
204,2024-06-01,11-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.50023,SE,1302.37528
205,2024-06-01,11-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,14.05623,E,1988.11076
206,2024-06-01,11-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.51182,SW,1764.16529
207,2024-06-01,11-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,7.12587,W,1305.91854
208,2024-06-01,11-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.19987,SW,897.55955
209,2024-06-01,11-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,3.50891,SE,1054.23454
210,2024-06-01,11-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.95753,S,1184.61435
211,2024-06-01,11-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,6.59071,SE,1140.41512
212,2024-06-01,11-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,3.61945,SE,1626.53247
213,2024-06-01,11-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Preventive Maintenance,Maintenance,2.66591,W,0.0
214,2024-06-01,11-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.03536,NE,1536.17716
215,2024-06-01,11-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Fault,Engineering,19.4635,W,0.0
